Cellulose,Hemicellulose,Lignin,Size,Temp,Time,SL_ratio,HBA_HBD_ratio,MW,pKa,HBD_count,HBA_count,viscosity,biomass_enc,hbd_enc,LRY
37.28,21.26,19.61,0.38,140,4.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,41.96,53.66330982236155,34.13
37.28,21.26,19.61,0.38,150,4.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,42.20921052631579,52.767703761755484,22.52
37.28,21.26,19.61,0.38,150,8.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,41.25558823529412,53.016349206349204,33.42
37.28,21.26,19.61,0.38,140,4.0,0.1,1.0,90.08,3.86,2.0,3.0,10.0,41.25558823529412,53.016349206349204,29.05
31.5,25.2,16.9,2.18,80,15.0,0.0625,0.5,92.09,14.4,3.0,3.0,50.0,46.89870898332436,34.10389909685457,20.5325443786982
31.5,25.2,16.9,2.18,115,15.0,0.0625,0.5,92.09,14.4,3.0,3.0,50.0,46.89870898332436,34.10389909685457,26.2485207100592
31.5,25.2,16.9,2.18,150,15.0,0.0625,0.5,92.09,14.4,3.0,3.0,50.0,45.50085207100592,33.77110868888197,58.9940828402367
31.5,25.2,16.9,2.18,80,15.0,0.0625,0.5,60.06,13.9,2.0,2.0,1.5,54.986320918900105,35.32244560764679,27.1479289940828
31.5,25.2,16.9,2.18,115,15.0,0.0625,0.5,60.06,13.9,2.0,2.0,1.5,43.819260355029584,37.48368684569868,37.5147928994083
31.5,25.2,16.9,2.18,80,15.0,0.0625,0.4285714285714285,68.08,6.99,1.0,2.0,1.5,43.819260355029584,63.8207100591716,50.6153846153846
31.5,25.2,16.9,2.18,115,15.0,0.0625,0.4285714285714285,68.08,6.99,1.0,2.0,1.5,46.89870898332436,55.13826429980276,76.6627218934911
31.5,25.2,16.9,2.18,150,15.0,0.0625,0.4285714285714285,68.08,6.99,1.0,2.0,1.5,49.083999013806704,52.39270216962523,84.8994082840237
39.19,36.89,16.49,0.83,90,24.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,43.819260355029584,51.86124521072797,64.7
39.19,36.89,16.49,0.83,90,24.0,0.05,0.2,90.08,3.86,2.0,3.0,10.0,46.89870898332436,52.52197783251232,77.9
39.19,36.89,16.49,0.83,90,24.0,0.05,0.5,76.05,3.83,2.0,3.0,1.5,43.819260355029584,43.64000000000001,56.4
39.19,36.89,16.49,0.83,90,24.0,0.05,0.5,116.12,4.61,1.0,3.0,10.0,54.986320918900105,51.91873394948207,43.0
39.19,36.89,16.49,0.83,90,24.0,0.05,1.0,104.06,2.83,2.0,4.0,10.0,46.89870898332436,37.49285714285714,56.5
39.19,36.89,16.49,0.83,90,24.0,0.05,1.0,132.12,5.41,2.0,4.0,10.0,54.986320918900105,51.91873394948207,34.3
39.19,36.89,16.49,0.83,90,24.0,0.05,1.0,134.09,3.4,3.0,5.0,10.0,54.986320918900105,41.39891443167307,22.4
39.19,36.89,16.49,0.83,70,24.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,49.083999013806704,52.767703761755484,18.1
39.19,36.89,16.49,0.83,80,24.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,54.986320918900105,53.016349206349204,31.1
39.19,36.89,16.49,0.83,90,24.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,43.819260355029584,51.86124521072797,42.7
39.19,36.89,16.49,0.83,100,24.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,43.819260355029584,51.86124521072797,65.8
39.19,36.89,16.49,0.83,110,24.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,43.819260355029584,51.86124521072797,95.5
39.19,36.89,16.49,0.83,90,1.5,0.05,0.5,90.08,3.86,2.0,3.0,10.0,49.083999013806704,52.767703761755484,8.6
39.19,36.89,16.49,0.83,90,3.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,54.986320918900105,53.016349206349204,15.7
39.19,36.89,16.49,0.83,90,6.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,54.986320918900105,53.016349206349204,20.9
39.19,36.89,16.49,0.83,90,12.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,54.986320918900105,53.016349206349204,25.7
39.19,36.89,16.49,0.83,90,36.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,54.986320918900105,53.016349206349204,48.5
45.6,16.2,27.4,0.38,90,0.5,0.1,1.0,126.07,1.25,4.0,5.0,10.0,64.10303779171021,59.2922191011236,15.0
45.6,16.2,27.4,0.38,90,1.0,0.1,1.0,126.07,1.25,4.0,5.0,10.0,64.10303779171021,59.2922191011236,32.6
45.6,16.2,27.4,0.38,90,1.5,0.1,1.0,126.07,1.25,4.0,5.0,10.0,64.10303779171021,59.2922191011236,51.6
45.6,16.2,27.4,0.38,90,2.0,0.1,1.0,126.07,1.25,4.0,5.0,10.0,64.10303779171021,59.2922191011236,56.9
45.6,16.2,27.4,0.38,90,2.5,0.1,1.0,126.07,1.25,4.0,5.0,10.0,64.10303779171021,59.2922191011236,69.2
45.6,16.2,27.4,0.38,90,3.0,0.1,1.0,126.07,1.25,4.0,5.0,10.0,58.59229471264368,53.05759051186018,82.1
45.6,16.2,27.4,0.38,90,5.0,0.1,1.0,126.07,1.25,4.0,5.0,10.0,58.59229471264368,53.05759051186018,82.4
43.2,20.8,28.5,0.42,130,6.0,0.05,0.5,46.03,3.75,1.0,2.0,1.5,59.49574712643678,53.948908045977,96.0
